OverNumber,Bowlers_Name,Bowler_Type,Batsman_Name,Runs,Delivery_Length,Delivery_Line,Shot_Field_Position
18.5,Richard Ngarava,Fast,Babar Azam,1,FullLength,Middle,LongOff
18.4,Richard Ngarava,Fast,Babar Azam,4,FullLength,Middle,DeepFineLeg
18.2,Richard Ngarava,Fast,Babar Azam,1,GoodLength,Middle,DeepMidWicket
17.6,Tabraiz Shamsi,Spin,Babar Azam,1,FullLength,Middle,DeepCover
17.1,Tabraiz Shamsi,Spin,Babar Azam,1,FullLength,Middle,DeepMidWicket
16.6,Richard Ngarava,Fast,Babar Azam,1,GoodLength,Middle,DeepMidWicket
16.5,Richard Ngarava,Fast,Babar Azam,2,fulltoss,Middle,LongOff
16.4,Richard Ngarava,Fast,Babar Azam,4,FullLength,Middle,ThirdMan
16.3,Richard Ngarava,Fast,Babar Azam,0,FullLength,Middle,MidOn
15.6,Shakib Al Hasan,Spin,Babar Azam,6,FullLength,Middle,LongOff
15.3,Shakib Al Hasan,Spin,Babar Azam,1,FullLength,Middle,DeepCover
15.1,Shakib Al Hasan,Spin,Babar Azam,1,GoodLength,Middle,LongOff
14.6,Kasun Rajitha,Medium,Babar Azam,1,FullLength,Middle,DeepSquareLeg
14.3,Kasun Rajitha,Medium,Babar Azam,1,GoodLength,Middle,DeepCover
14.2,Kasun Rajitha,Medium,Babar Azam,6,GoodLength,Middle,LongOff
14.1,Kasun Rajitha,Medium,Babar Azam,2,GoodLength,Middle,LongOff
13.6,Akila Dananjaya,Spin,Babar Azam,1,FullLength,Middle,LongOff
13.5,Akila Dananjaya,Spin,Babar Azam,2,FullLength,Middle,DeepMidWicket
13.4,Akila Dananjaya,Spin,Babar Azam,4,GoodLength,Middle,DeepCover
13.3,Akila Dananjaya,Spin,Babar Azam,6,FullLength,Middle,LongOff
13.2,Akila Dananjaya,Spin,Babar Azam,6,FullLength,Middle,LongOff
13.1,Akila Dananjaya,Spin,Babar Azam,0,GoodLength,Middle,MidWicket
11.3,Shakib Al Hasan,Spin,Babar Azam,1,FullLength,Middle,LongOff
11.2,Shakib Al Hasan,Spin,Babar Azam,2,FullLength,Middle,DeepCover
10.5,Tabraiz Shamsi,Spin,Babar Azam,1,GoodLength,Middle,DeepSquareLeg
10.4,Tabraiz Shamsi,Spin,Babar Azam,0,FullLength,Middle,MidWicket
10.3,Tabraiz Shamsi,Spin,Babar Azam,2,GoodLength,Middle,DeepCover
9.5,Akila Dananjaya,Spin,Babar Azam,1,GoodLength,Middle,DeepMidWicket
9.3,Akila Dananjaya,Spin,Babar Azam,1,FullLength,Middle,DeepMidWicket
9.2,Akila Dananjaya,Spin,Babar Azam,4,FullLength,Middle,DeepCover
9.2,Akila Dananjaya,Spin,Babar Azam,6,FullLength,Middle,LongOff
9.1,Akila Dananjaya,Spin,Babar Azam,1,GoodLength,Middle,DeepMidWicket
7.6,Akila Dananjaya,Spin,Babar Azam,1,GoodLength,Middle,DeepPoint
7.4,Akila Dananjaya,Spin,Babar Azam,1,FullLength,Middle,DeepMidWicket
7.2,Akila Dananjaya,Spin,Babar Azam,1,FullLength,Middle,shortCover
6.4,Dasun Shanaka,Medium,Babar Azam,1,GoodLength,Middle,DeepFineLeg
6.2,Dasun Shanaka,Medium,Babar Azam,1,FullLength,Middle,DeepCover
5.5,Tabraiz Shamsi,Spin,Babar Azam,1,GoodLength,Middle,DeepSquareLeg
5.3,Tabraiz Shamsi,Spin,Babar Azam,6,FullLength,Middle,DeepMidWicket
5.2,Tabraiz Shamsi,Spin,Babar Azam,0,GoodLength,Middle,shortCover
4.6,Richard Ngarava,Fast,Babar Azam,2,GoodLength,Middle,DeepFineLeg
4.4,Richard Ngarava,Fast,Babar Azam,4,GoodLength,Middle,DeepPoint
3.4,Shakib Al Hasan,Spin,Babar Azam,1,FullLength,Middle,LongOff
3.1,Shakib Al Hasan,Spin,Babar Azam,1,FullLength,Middle,DeepCover
2.3,Richard Ngarava,Fast,Babar Azam,1,GoodLength,Middle,LongOff
2.1,Richard Ngarava,Fast,Babar Azam,1,GoodLength,Middle,DeepSquareLeg
1.6,Shakib Al Hasan,Spin,Babar Azam,1,FullLength,Middle,DeepMidWicket
1.5,Shakib Al Hasan,Spin,Babar Azam,0,GoodLength,Middle,DeepSquareLeg
1.3,Shakib Al Hasan,Spin,Babar Azam,1,FullLength,Middle,DeepCover
1.1,Shakib Al Hasan,Spin,Babar Azam,1,FullLength,Middle,DeepMidWicket
0.6,Kasun Rajitha,Medium,Babar Azam,1,GoodLength,Middle,Point
0.5,Kasun Rajitha,Medium,Babar Azam,4,FullLength,Middle,DeepSquareLeg
0.4,Kasun Rajitha,Medium,Babar Azam,4,GoodLength,Middle,DeepCover
0.3,Kasun Rajitha,Medium,Babar Azam,4,FullLength,Middle,DeepSquareLeg
12.2,Trent Boult,Fast,Babar Azam,1,FullLength,Middle,FineLeg
11.5,Ish Sodhi,Spin,Babar Azam,1,GoodLength,Middle,LongOff
11.2,Ish Sodhi,Spin,Babar Azam,1,FullLength,Middle,SquareLeg
10.6,LH Ferguson,Fast,Babar Azam,2,FullLength,Middle,MidWicket
10.5,LH Ferguson,Fast,Babar Azam,0,FullLength,Middle,MidWicket
10.4,LH Ferguson,Fast,Babar Azam,4,ShortLength,Middle,MidWicket
10.2,LH Ferguson,Fast,Babar Azam,1,GoodLength,Middle,ThirdMan
9.6,Ish Sodhi,Spin,Babar Azam,2,GoodLength,Middle,Point
9.5,Ish Sodhi,Spin,Babar Azam,4,GoodLength,Middle,Point
9.3,Ish Sodhi,Spin,Babar Azam,1,ShortLength,Middle,SquareLeg
9.1,Ish Sodhi,Spin,Babar Azam,1,GoodLength,Middle,Point
8.5,Mitchell Santner,Spin,Babar Azam,1,GoodLength,Middle,Cover
8.2,Mitchell Santner,Spin,Babar Azam,1,ShortLength,Middle,MidWicket
8.1,Mitchell Santner,Spin,Babar Azam,0,GoodLength,Middle,Cover
7.6,Ish Sodhi,Spin,Babar Azam,1,GoodLength,Middle,MidWicket
7.4,Ish Sodhi,Spin,Babar Azam,1,ShortLength,Middle,MidWicket
7.2,Ish Sodhi,Spin,Babar Azam,1,GoodLength,Middle,MidWicket
7.1,Ish Sodhi,Spin,Babar Azam,0,GoodLength,Middle,Cover
6.6,Mitchell Santner,Spin,Babar Azam,1,GoodLength,Middle,ThirdMan
6.5,Mitchell Santner,Spin,Babar Azam,4,GoodLength,Middle,SquareLeg
6.3,Mitchell Santner,Spin,Babar Azam,1,GoodLength,Middle,Cover
6.2,Mitchell Santner,Spin,Babar Azam,0,FullLength,Middle,Cover
5.5,LH Ferguson,Fast,Babar Azam,1,GoodLength,Middle,ThirdMan
5.4,LH Ferguson,Fast,Babar Azam,4,GoodLength,Middle,Point
5.1,LH Ferguson,Fast,Babar Azam,1,GoodLength,Middle,MidWicket
4.6,Tim Southee,Fast,Babar Azam,1,GoodLength,Middle,SquareLeg
4.5,Tim Southee,Fast,Babar Azam,4,FullLength,Middle,SquareLeg
4.4,Tim Southee,Fast,Babar Azam,0,GoodLength,Middle,ThirdMan
3.6,LH Ferguson,Fast,Babar Azam,1,GoodLength,Middle,Point
3.3,LH Ferguson,Fast,Babar Azam,1,ShortLength,Middle,ThirdMan
3.2,LH Ferguson,Fast,Babar Azam,2,GoodLength,Middle,ThirdMan
3.1,LH Ferguson,Fast,Babar Azam,4,FullLength,Middle,StraightHit
2.3,Trent Boult,Fast,Babar Azam,1,GoodLength,Middle,ThirdMan
2.2,Trent Boult,Fast,Babar Azam,4,GoodLength,Middle,Point
1.6,Tim Southee,Fast,Babar Azam,1,GoodLength,Middle,MidWicket
1.3,Tim Southee,Fast,Babar Azam,0,GoodLength,Middle,Point
0.6,Trent Boult,Fast,Babar Azam,0,GoodLength,Middle,Point
8,Hendricks,Fast,Babar Azam,1,FullLength,Off,DeepMidWicket
6,Magala,Fast,Babar Azam,0,ShortLength,Off,DeepCover
5,Hendricks,Fast,Babar Azam,1,GoodLength,OutsideOff,DeepMidWicket
5,Hendricks,Fast,Babar Azam,4,FullLength,OutsideOff,DeepBackwardPoint
4,Linde,Spin,Babar Azam,1,GoodLength,OutsideOff,LongOn
4,Linde,Spin,Babar Azam,4,ShortLength,OutsideOff,ThirdMan
4,Magala,Fast,Babar Azam,2,FullLength,OutsideOff,DeepMidWicket
3,Magala,Fast,Babar Azam,1,ShortLength,OutsideOff,LongOff
3,Williams,Fast,Babar Azam,2,ShortLength,OutsideOff,DeepCover
2,Hendricks,Fast,Babar Azam,4,FullLength,OutsideOff,ThirdMan
17,Shamsi,Spin,Babar Azam,1,FullLength,OutsideLeg,DeepFineLeg
17,Shamsi,Spin,Babar Azam,1,GoodLength,Middle,DeepMidWicket
16,Magala,Fast,Babar Azam,1,FullLength,Middle,BehindSquare
15,Shamsi,Spin,Babar Azam,0,ShortLength,OutsideOff,DeepFineLeg
14,Magala,Fast,Babar Azam,1,ShortLength,OutsideOff,ExraCover
13,Magala,Fast,Babar Azam,1,FullLength,Off,DeepMidWicket
6,Linde,Spin,Babar Azam,0,GoodLength,OutsideOff,DeepCover
1,Williams,Fast,Babar Azam,4,GoodLength,Wide,ThirdMan
13,Jongwe,Fast,Babar Azam,0,ShortLength,Off,DeepCover
12,Madhevere,Spin,Babar Azam,1,GoodLength,OutsideOff,DeepMidWicket
11,Burl,Spin,Babar Azam,4,GoodLength,OutsideOff,DeepBackwardPoint
11,Burl,Spin,Babar Azam,1,GoodLength,OutsideOff,LongOn
11,Burl,Spin,Babar Azam,4,GoodLength,OutsideOff,ThirdMan
11,Madhevere,Spin,Babar Azam,2,GoodLength,OutsideOff,DeepMidWicket
10,Burl,Spin,Babar Azam,1,FullLength,OutsideOff,LongOff
10,Masakadza,Fast,Babar Azam,2,ShortLength,OutsideOff,DeepCover
9,Masakadza,Fast,Babar Azam,4,GoodLength,OutsideOff,ThirdMan
8,Burl,Spin,Babar Azam,1,GoodLength,OutsideLeg,DeepFineLeg
7,Burl,Spin,Babar Azam,1,GoodLength,Middle,DeepMidWicket
6,Masakadza,Fast,Babar Azam,1,GoodLength,Middle,BehindSquare
7,Masakadza,Fast,Babar Azam,0,GoodLength,OutsideOff,DeepFineLeg
6,Madhevere,Spin,Babar Azam,1,GoodLength,OutsideOff,ExraCover
5,Ngarava,Fast,Babar Azam,0,FullLength,OutsideOff,DeepCover
6,Muzarabani,Fast,Babar Azam,4,ShortLength,Wide,ThirdMan
12,Masakadza,Fast,Babar Azam,0,GoodLength,Off,DeepCover
10,Jongwe,Fast,Babar Azam,1,ShortLength,OutsideOff,LongOn
9,Masakadza,Fast,Babar Azam,2,GoodLength,OutsideOff,DeepMidWicket
9,Burl,Spin,Babar Azam,2,FullLength,OutsideOff,DeepCover
8,Burl,Spin,Babar Azam,4,FullLength,OutsideOff,ThirdMan
7,Masakadza,Fast,Babar Azam,1,FullLength,OutsideLeg,DeepFineLeg
7,Masakadza,Fast,Babar Azam,1,ShortLength,Middle,DeepMidWicket
6,Burl,Spin,Babar Azam,1,ShortLength,Middle,BehindSquare
4,Masakadza,Fast,Babar Azam,0,ShortLength,OutsideOff,DeepFineLeg
3,Willey,Fast,Babar Azam,1,Yorker,OutsideOff,ExraCover
2,Gregory,Fast,Babar Azam,1,GoodLength,Off,DeepMidWicket
11,Muzarabani,Fast,Babar Azam,0,ShortLength,OutsideOff,DeepCover
8,Mohammad Ilyas,Fast,Babar Azam,4,FullLength,Wide,ThirdMan
5,Irfan,Fast,Babar Azam,0,ShortLength,Off,DeepCover
4,Irfan,Fast,Babar Azam,1,GoodLength,OutsideOff,DeepMidWicket
3,Junaid,Fast,Babar Azam,4,FullLength,OutsideOff,DeepBackwardPoint
3,Junaid,Fast,Babar Azam,1,GoodLength,OutsideOff,LongOn
3,Junaid,Fast,Babar Azam,4,FullLength,OutsideOff,ThirdMan
3,Junaid,Fast,Babar Azam,2,GoodLength,OutsideOff,DeepMidWicket
18,Green,Fast,Babar Azam,1,GoodLength,OutsideOff,LongOff
17,Junaid,Fast,Babar Azam,2,GoodLength,OutsideOff,DeepCover
17,Junaid,Fast,Babar Azam,4,ShortLength,OutsideOff,ThirdMan
16,Green,Fast,Babar Azam,1,GoodLength,OutsideLeg,DeepFineLeg
15,Green,Fast,Babar Azam,1,ShortLength,Middle,DeepMidWicket
15,Irfan,Fast,Babar Azam,1,ShortLength,Middle,BehindSquare
14,Haris Rauf,Fast,Babar Azam,0,ShortLength,OutsideOff,DeepFineLeg
12,Viljoen,Fast,Babar Azam,1,GoodLength,OutsideOff,ExraCover
12,Viljoen,Fast,Babar Azam,1,FullLength,Off,DeepMidWicket
5,Shaheen Shah Afridi,Fast,Babar Azam,0,FullLength,OutsideOff,DeepCover
19,Irfan,Fast,Babar Azam,4,GoodLength,Wide,ThirdMan
11,Wiese,Fast,Babar Azam,0,FullLength,Off,DeepCover
11,Lamichhane,Spin,Babar Azam,1,GoodLength,OutsideOff,DeepMidWicket
10,Lamichhane,Spin,Babar Azam,4,FullLength,OutsideOff,DeepBackwardPoint
10,Cheema,Fast,Babar Azam,4,ShortLength,OutsideOff,ThirdMan
10,Cheema,Fast,Babar Azam,2,ShortLength,OutsideOff,DeepMidWicket
9,Mohammad Ilyas,Fast,Babar Azam,1,GoodLength,OutsideOff,LongOff
8,Irfan,Fast,Babar Azam,2,ShortLength,OutsideOff,DeepCover
6,Irfan,Fast,Babar Azam,1,GoodLength,OutsideLeg,DeepFineLeg
17,Irfan,Fast,Babar Azam,1,GoodLength,Middle,DeepMidWicket
7,Irfan,Fast,Babar Azam,1,FullLength,Middle,BehindSquare
6,Irfan,Fast,Babar Azam,0,ShortLength,OutsideOff,DeepFineLeg
3,Mohammad Hasnain,Fast,Babar Azam,1,GoodLength,OutsideOff,ExraCover
3,Mohammad Hasnain,Fast,Babar Azam,1,ShortLength,Off,DeepMidWicket
4,Raees,Fast,Babar Azam,4,GoodLength,Wide,ThirdMan
10,Mohammad Hasnain,Fast,Babar Azam,0,GoodLength,Off,DeepCover
9,Raees,Fast,Babar Azam,1,FullLength,OutsideOff,LongOn
8,Sami,Fast,Babar Azam,4,ShortLength,OutsideOff,ThirdMan
8,Sami,Fast,Babar Azam,2,GoodLength,OutsideOff,DeepMidWicket
7,Raees,Fast,Babar Azam,1,GoodLength,OutsideOff,LongOff
6,Raees,Fast,Babar Azam,2,GoodLength,OutsideOff,DeepCover
4,Wiese,Fast,Babar Azam,1,ShortLength,OutsideLeg,DeepFineLeg
2,Cheema,Fast,Babar Azam,0,FullLength,OutsideOff,DeepFineLeg
19,Irfan,Fast,Babar Azam,1,FullLength,OutsideOff,ExraCover
18,Abbas,Fast,Babar Azam,1,ShortLength,Off,DeepMidWicket
10,Ibtisam Sheikh,Spin,Babar Azam,0,GoodLength,OutsideOff,DeepCover
17,Hassan,Fast,Babar Azam,4,GoodLength,Wide,ThirdMan
9,Nawaz,Spin,Babar Azam,1,GoodLength,OutsideOff,DeepMidWicket
8,Nawaz,Spin,Babar Azam,4,FullLength,OutsideOff,DeepBackwardPoint
8,Nawaz,Spin,Babar Azam,1,GoodLength,OutsideOff,LongOn
8,Nawaz,Spin,Babar Azam,4,GoodLength,OutsideOff,ThirdMan
8,Viljoen,Fast,Babar Azam,2,GoodLength,OutsideOff,DeepMidWicket
7,Pollard,Medium,Babar Azam,2,ShortLength,OutsideOff,DeepCover
5,Pollard,Medium,Babar Azam,1,GoodLength,Middle,BehindSquare
4,Pollard,Medium,Babar Azam,0,ShortLength,OutsideOff,DeepFineLeg
3,Tahir,Spin,Babar Azam,1,ShortLength,OutsideOff,ExraCover
2,Tahir,Spin,Babar Azam,1,Yorker,Off,DeepMidWicket
15,Narine,Spin,Babar Azam,0,ShortLength,OutsideOff,DeepCover
6,Jordan,Fast,Babar Azam,4,GoodLength,Wide,ThirdMan
1,Sodhi,Spin,Babar Azam,1,ShortLength,OutsideOff,LongOn
5,Sodhi,Spin,Babar Azam,3,ShortLength,OutsideOff,ThirdMan
3,de Grandhomme,Fast,Babar Azam,0,FullLength,OutsideOff,LongOn
3,Boult,Fast,Babar Azam,1,GoodLength,OutsideOff,DeepCover
18,Wheeler,Fast,Babar Azam,1,ShortLength,Middle,LongOn
15,Boult,Fast,Babar Azam,1,FullLength,Middle,DeepMidWicket
13,Wheeler,Fast,Babar Azam,4,ShortLength,Leg,DeepFineLeg
9,Santner,Spin,Babar Azam,1,GoodLength,OutsideOff,DeepCover
9,de Grandhomme,Fast,Babar Azam,2,GoodLength,Middle,DeepMidWicket
14,Powell,Fast,Babar Azam,1,FullLength,Middle,DeepMidWicket
2,Paul,Fast,Babar Azam,2,FullLength,Middle,DeepMidWicket
15,Badree,Spin,Babar Azam,2,ShortLength,Middle,DeepMidWicket
4,Ferguson,Fast,BabarAzam,2,GoodLength,Middle,DeepMidWicket
13,Sodhi,Spin,BabarAzam,4,FullLength,OutsideOff,DeepCover
8,Southee,Fast,BabarAzam,1,GoodLength,OutsideOff,DeepExtraCover
8,Tickner,Fast,BabarAzam,4,Yorker,Middle,DeepMidWicket
6,Boult,Fast,BabarAzam,4,ShortLength,OutsideOff,DeepCover
4,Taskin,Fast,BabarAzam,4,FullLength,Middle,LongOn
20,Nasum,Spin,BabarAzam,1,FullLength,Middle,DeepSquareLeg
6,Stokes,Fast,Babar Azam,0,FullLength,OutsideOff,DeepPoint
11,Ferguson,Fast,BabarAzam,2,GoodLength,Middle,DeepMidWicket
19,Sodhi,Spin,BabarAzam,4,FullLength,OutsideOff,DeepCover
12,Southee,Fast,BabarAzam,1,GoodLength,OutsideOff,DeepExtraCover
4,Tickner,Fast,BabarAzam,4,Yorker,Middle,DeepMidWicket
3,Boult,Fast,BabarAzam,4,ShortLength,OutsideOff,DeepCover
3,Taskin,Fast,BabarAzam,4,FullLength,Middle,LongOn
2,Nasum,Spin,BabarAzam,1,FullLength,Middle,DeepSquareLeg
1,Stokes,Fast,BabarAzam,0,FullLength,OutsideOff,DeepPoint
3,Jordan,Fast,BabarAzam,2,GoodLength,OutsideOff,ThirdMan
15,Sodhi,Spin,Babar Azam,1,ShortLength,OutsideOff,LongOn
7,Sodhi,Spin,Babar Azam,3,ShortLength,OutsideOff,ThirdMan
5,de Grandhomme,Fast,Babar Azam,0,FullLength,OutsideOff,LongOn
20,Boult,Fast,Babar Azam,1,GoodLength,OutsideOff,DeepCover
19,Wheeler,Fast,Babar Azam,1,ShortLength,Middle,LongOn
16,Boult,Fast,Babar Azam,1,FullLength,Middle,DeepMidWicket
14,Wheeler,Fast,Babar Azam,4,ShortLength,Leg,DeepFineLeg
12,Santner,Spin,Babar Azam,1,GoodLength,OutsideOff,DeepCover
11,de Grandhomme,Fast,Babar Azam,2,GoodLength,Middle,DeepMidWicket
12,Powell,Fast,Babar Azam,1,FullLength,Middle,DeepMidWicket
1,Paul,Fast,Babar Azam,2,FullLength,Middle,DeepMidWicket
9,Badree,Spin,Babar Azam,2,ShortLength,Middle,DeepMidWicket
9,de Grandhomme,Fast,BabarAzam,1,FullLength,Middle,DeepMidWicket
12,Linde,Spin,Babar Azam,0,FullLength,Off,DeepFineLeg
3,Magala,Fast,Babar Azam,2,ShortLength,OutsideLeg,DeepSquareLeg
6,Magala,Fast,Babar Azam,1,FullLength,OutsideOff,LongOn
6,Williams,Fast,Babar Azam,4,FullLength,OutsideOff,DeepBackwardPoint
6,Williams,Fast,Babar Azam,2,GoodLength,Middle,DeepSquareLeg
4,Jongwe,Fast,Babar Azam,1,GoodLength,Off,DeepMidWicket
4,Jongwe,Fast,Babar Azam,1,FullLength,Middle,DeepBackwardPoint
1,Ngarava,Fast,Babar Azam,0,GoodLength,OutsideOff,DeepCover
14,Muzarabani,Fast,Babar Azam,0,ShortLength,OutsideLeg,DeepMidWicket
12,Muzarabani,Fast,Babar Azam,0,GoodLength,Off,DeepCover
11,Burl,Spin,Babar Azam,1,GoodLength,OutsideOff,DeepMidWicket
10,Burl,Spin,Babar Azam,4,GoodLength,OutsideOff,DeepBackwardPoint
10,Masakadza,Fast,Babar Azam,4,FullLength,OutsideOff,ThirdMan
9,Masakadza,Fast,Babar Azam,1,GoodLength,OutsideOff,LongOff
4,Muzarabani,Fast,Babar Azam,1,GoodLength,OutsideOff,DeepCover
3,Willey,Fast,Babar Azam,1,FullLength,Leg,BehindSquare
19,Parkinson,Spin,Babar Azam,0,Yorker,Off,DeepFineLeg
4,Burl,Spin,Babar Azam,4,GoodLength,OutsideOff,DeepBackwardPoint
5,Mohammad Ilyas,Fast,Babar Azam,1,FullLength,Wide,DeepPoint
8,Viljoen,Fast,Babar Azam,0,GoodLength,Off,DeepCover
6,Shaheen Shah Afridi,Fast,Babar Azam,2,ShortLength,OutsideOff,ExraCover
10,Cheema,Fast,Babar Azam,1,GoodLength,OutsideOff,LongOn
7,Irfan,Fast,Babar Azam,4,ShortLength,OutsideOff,ThirdMan
6,Irfan,Fast,Babar Azam,2,FullLength,Middle,LongOn
14,Raees,Fast,Babar Azam,0,FullLength,OutsideOff,DeepCover
5,Lamichhane,Spin,Babar Azam,2,GoodLength,OutsideOff,ExraCover
3,Mohammad Ilyas,Fast,Babar Azam,4,GoodLength,OutsideOff,DeepMidWicket
3,Irfan,Fast,Babar Azam,0,ShortLength,OutsideOff,DeepCover
15,Mohammad Hasnain,Fast,Babar Azam,1,ShortLength,Off,DeepMidWicket
11,Yasir Shah,Spin,Babar Azam,1,FullLength,Middle,DeepFineLeg
9,Fawad,Spin,Babar Azam,1,GoodLength,OutsideOff,DeepMidWicket
9,Mohammad Hasnain,Fast,Babar Azam,4,FullLength,OutsideOff,DeepBackwardPoint
6,Raees,Fast,Babar Azam,4,GoodLength,OutsideOff,ThirdMan
6,Lamichhane,Spin,Babar Azam,1,GoodLength,OutsideOff,DeepPoint
4,Wiese,Fast,Babar Azam,1,FullLength,Middle,DeepMidWicket
3,Lamichhane,Spin,Babar Azam,1,ShortLength,Middle,BehindSquare
3,Lamichhane,Spin,Babar Azam,2,GoodLength,Middle,LongOn
15,Sami,Fast,Babar Azam,0,GoodLength,OutsideOff,DeepCover
3,Faheem,Fast,Babar Azam,1,FullLength,OutsideOff,LongOn
11,Rahat Ali,Fast,Babar Azam,1,GoodLength,OutsideLeg,LongOn
10,Rahat Ali,Fast,Babar Azam,0,ShortLength,Off,DeepCover
7,Viljoen,Fast,Babar Azam,1,GoodLength,OutsideOff,LongOff
6,Pollard,Medium,Babar Azam,4,ShortLength,OutsideOff,ThirdMan
6,Viljoen,Fast,Babar Azam,1,ShortLength,OutsideLeg,DeepFineLeg
5,Viljoen,Fast,Babar Azam,1,GoodLength,Middle,DeepMidWicket
10,Irfan,Fast,Babar Azam,0,ShortLength,Off,DeepFineLeg
7,Tahir,Spin,Babar Azam,1,FullLength,OutsideOff,DeepCover
3,Santner,Spin,Babar Azam,2,FullLength,Middle,DeepMidWicket
1,Sodhi,Spin,Babar Azam,1,GoodLength,OutsideOff,LongOff
14,Santner,Spin,Babar Azam,1,GoodLength,Middle,DeepMidWicket
12,Santner,Spin,Babar Azam,1,GoodLength,OutsideOff,LongOff
11,Sodhi,Spin,Babar Azam,1,GoodLength,OutsideOff,LongOn
11,Sodhi,Spin,Babar Azam,0,ShortLength,OutsideOff,DeepCover
6,Santner,Spin,Babar Azam,1,GoodLength,Middle,DeepSquareLeg
6,Santner,Spin,Babar Azam,1,ShortLength,OutsideOff,DeepPoint
5,Paul,Fast,Babar Azam,4,GoodLength,Middle,DeepPoint
14,Emrit,Fast,Babar Azam,1,FullLength,Middle,DeepMidWicket
4,Badree,Spin,Babar Azam,1,FullLength,Middle,LongOn
18,McCarthy,Fast,Babar Azam,1,GoodLength,Middle,DeepPoint
17,McCarthy,Fast,Babar Azam,4,GoodLength,OutsideOff,DeepBackwardPoint
13,Mohammed,Spin,Babar Azam,4,GoodLength,OutsideOff,DeepMidWicket
8,Emrit,Fast,Babar Azam,4,ShortLength,OutsideOff,DeepPoint
7,Boult,Fast,BabarAzam,-1,FullLength,OutsideOff,LongOn
4,Ferguson,Fast,BabarAzam,0,GoodLength,Middle,DeepSquareLeg
3,Ferguson,Fast,BabarAzam,1,GoodLength,OutsideOff,DeepCover
3,Sodhi,Spin,BabarAzam,2,Yorker,Off,DeepBackwardPoint
2,Sodhi,Spin,BabarAzam,1,GoodLength,OutsideOff,DeepPoint
