OverNumber,Bowlers_Name,Bowler_Type,Batsman_Name,Runs,Delivery_Length,Delivery_Line,Shot_Field_Position
1,Santner,Spin,BabarAzam,1,Yorker,Off,DeepMidWicket
12,Santner,Spin,BabarAzam,0,FullLength,OutsideOff,DeepCover
4,Boult,Fast,BabarAzam,1,FullLength,Off,DeepSquareLeg
16,MichaelBracewell,Spin,BabarAzam,0,ShortLength,OutsideOff,DeepCover
15,MichaelBracewell,Spin,BabarAzam,0,FullLength,Middle,DeepMidWicket
15,Boult,Fast,BabarAzam,1,FullLength,OutsideOff,LongOff
13,Southee,Fast,BabarAzam,0,GoodLength,OutsideOff,DeepMidWicket
11,Boult,Fast,BabarAzam,0,GoodLength,OutsideOff,DeepCover
6,Sodhi,Spin,BabarAzam,1,FullLength,Middle,LongOn
5,Neesham,Medium,BabarAzam,1,GoodLength,Middle,LongOn
5,Neesham,Medium,BabarAzam,2,ShortLength,OutsideOff,ThirdMan
5,Neesham,Medium,BabarAzam,1,ShortLength,OutsideOff,DeepCover
4,Sodhi,Spin,BabarAzam,2,FullLength,Middle,DeepSquareLeg
3,Neesham,Medium,BabarAzam,4,GoodLength,OutsideOff,ThirdMan
2,Tickner,Fast,BabarAzam,1,FullLength,OutsideOff,ThirdMan
7,Boult,Fast,BabarAzam,4,GoodLength,OutsideOff,DeepCover
16,Ngarava,Fast,BabarAzam,0,GoodLength,OutsideOff,LongOff
14,Shakib,Spin,Babar Azam,1,FullLength,OutsideOff,DeepCover
10,Saifuddin,Fast,Babar Azam,0,FullLength,OutsideOff,DeepExtraCover
10,Saifuddin,Fast,Babar Azam,4,FullLength,OutsideOff,DeepCover
4,Hasan Mahmud,Fast,Babar Azam,1,ShortLength,Off,DeepPoint
4,Hasan Mahmud,Fast,Babar Azam,0,ShortLength,OutsideOff,ThirdMan
14,Bhuvneshwar,Medium,Babar Azam,4,ShortLength,Leg,DeepMidWicket
4,Dhananjaya,Spin,Babar Azam,1,GoodLength,OutsideOff,LongOff
6,Jordan,Fast,Babar Azam,1,ShortLength,Off,ThirdMan
5,Jordan,Fast,Babar Azam,4,GoodLength,Middle,DeepCover
3,Woakes,Fast,Babar Azam,1,ShortLength,OutsideOff,DeepMidWicket
3,Woakes,Fast,Babar Azam,0,ShortLength,Off,DeepMidWicket
2,Woakes,Fast,Babar Azam,3,ShortLength,Off,LongOn
1,Woakes,Fast,Babar Azam,1,ShortLength,Middle,LongOn
5,Ngidi,Fast,Babar Azam,1,fulltoss,Middle,LongOff
7,Magala,Fast,Babar Azam,1,GoodLength,Middle,LongOn
6,Magala,Fast,Babar Azam,2,GoodLength,Middle,DeepMidWicket
6,Hendricks,Fast,Babar Azam,1,ShortLength,OutsideOff,DeepCover
3,Magala,Fast,Babar Azam,1,ShortLength,Middle,LongOff
3,Williams,Fast,Babar Azam,1,FullLength,Middle,DeepMidWicket
12,Linde,Spin,Babar Azam,1,ShortLength,Middle,LongOn
12,Williams,Fast,Babar Azam,0,ShortLength,OutsideOff,DeepBackwardPoint
12,Williams,Fast,Babar Azam,1,GoodLength,Middle,DeepFineLeg
8,Shamsi,Spin,Babar Azam,0,FullLength,OutsideOff,ThirdMan
8,Hendricks,Fast,Babar Azam,1,ShortLength,Middle,DeepSquareLeg
7,Linde,Spin,Babar Azam,1,ShortLength,Middle,StraightHit
6,Hendricks,Fast,Babar Azam,1,ShortLength,OutsideOff,DeepMidWicket
5,Linde,Spin,Babar Azam,1,GoodLength,Middle,DeepPoint
5,Linde,Spin,Babar Azam,0,GoodLength,Middle,ExraCover
5,Hendricks,Fast,Babar Azam,1,ShortLength,OutsideOff,DeepCover
4,Williams,Fast,Babar Azam,2,GoodLength,Middle,DeepMidWicket
4,Magala,Fast,Babar Azam,1,GoodLength,Middle,LongOn
3,Williams,Fast,Babar Azam,2,FullLength,OutsideOff,ThirdMan
1,Shamsi,Spin,Babar Azam,1,GoodLength,OutsideOff,DeepMidWicket
10,Shamsi,Spin,Babar Azam,1,GoodLength,OutsideOff,DeepMidWicket
8,Shamsi,Spin,Babar Azam,1,GoodLength,OutsideOff,LongOn
7,Magala,Fast,Babar Azam,1,ShortLength,Off,DeepPoint
6,Williams,Fast,Babar Azam,1,GoodLength,Middle,DeepMidWicket
4,Magala,Fast,Babar Azam,2,FullLength,Middle,DeepMidWicket
4,Magala,Fast,Babar Azam,1,GoodLength,Middle,LongOff
2,Magala,Fast,Babar Azam,1,GoodLength,OutsideOff,DeepCover
2,Magala,Fast,Babar Azam,3,ShortLength,Middle,LongOn
1,Shamsi,Spin,Babar Azam,1,FullLength,OutsideLeg,DeepFineLeg
2,Shamsi,Spin,Babar Azam,4,ShortLength,OutsideOff,ThirdMan
1,Linde,Spin,Babar Azam,-1,ShortLength,Middle,DeepMidWicket
16,Linde,Spin,Babar Azam,1,ShortLength,Middle,DeepCover
15,Linde,Spin,Babar Azam,1,Yorker,OutsideOff,ThirdMan
15,Linde,Spin,Babar Azam,0,FullLength,OutsideOff,LongOn
14,Shamsi,Spin,Babar Azam,1,GoodLength,Middle,DeepMidWicket
11,Hendricks,Fast,Babar Azam,0,Yorker,Middle,DeepMidWicket
9,Williams,Fast,Babar Azam,1,GoodLength,Middle,ThirdMan
9,Williams,Fast,Babar Azam,1,FullLength,Middle,ThirdMan
9,Hendricks,Fast,Babar Azam,1,FullLength,Middle,StraightHit
8,Hendricks,Fast,Babar Azam,2,GoodLength,OutsideOff,LongOn
8,Linde,Spin,Babar Azam,1,GoodLength,Middle,StraightHit
7,Linde,Spin,Babar Azam,1,ShortLength,OutsideOff,LongOn
7,Linde,Spin,Babar Azam,6,GoodLength,OutsideOff,CowCorner
6,Linde,Spin,Babar Azam,1,GoodLength,Middle,LongOff
6,Linde,Spin,Babar Azam,1,FullLength,Middle,DeepExtraCover
4,Shamsi,Spin,Babar Azam,4,FullLength,Middle,DeepSquareLeg
4,Mulder,Medium,Babar Azam,1,ShortLength,OutsideOff,Square
4,Mulder,Medium,Babar Azam,1,ShortLength,OutsideOff,DeepMidWicket
2,Magala,Fast,Babar Azam,4,FullLength,Middle,DeepMidWicket
19,Williams,Fast,Babar Azam,1,FullLength,Middle,CowCorner
17,Williams,Fast,Babar Azam,1,GoodLength,Middle,DeepFineLeg
17,Williams,Fast,Babar Azam,6,ShortLength,OutsideOff,LongOn
16,Fortuin,Spin,Babar Azam,6,FullLength,Middle,LongOn
16,Fortuin,Spin,Babar Azam,2,ShortLength,OutsideOff,DeepSquareLeg
15,Mulder,Medium,Babar Azam,-1,FullLength,Middle,LongOn
15,Mulder,Medium,Babar Azam,0,GoodLength,Middle,DeepPoint
15,Fortuin,Spin,Babar Azam,0,FullLength,Middle,DeepMidWicket
14,Muzarabani,Fast,Babar Azam,1,ShortLength,Off,DeepMidWicket
13,Madhevere,Spin,Babar Azam,2,ShortLength,Middle,DeepMidWicket
10,Burl,Spin,Babar Azam,1,ShortLength,OutsideOff,LongOff
3,Muzarabani,Fast,Babar Azam,1,ShortLength,Middle,LongOn
3,Muzarabani,Fast,Babar Azam,0,GoodLength,OutsideOff,DeepBackwardPoint
3,Muzarabani,Fast,Babar Azam,1,FullLength,Middle,DeepMidWicket
2,Muzarabani,Fast,Babar Azam,1,GoodLength,OutsideLeg,DeepFineLeg
11,Muzarabani,Fast,Babar Azam,1,FullLength,OutsideOff,DeepSquareLeg
11,Ngarava,Fast,Babar Azam,1,GoodLength,Middle,StraightHit
6,Jongwe,Fast,Babar Azam,1,ShortLength,Middle,DeepMidWicket
4,Ngarava,Fast,Babar Azam,1,ShortLength,OutsideOff,DeepPoint
4,Ngarava,Fast,Babar Azam,0,Yorker,OutsideOff,ExraCover
3,Burl,Spin,Babar Azam,2,Yorker,Middle,DeepMidWicket
3,Burl,Spin,Babar Azam,1,GoodLength,OutsideOff,LongOn
17,Masakadza,Fast,Babar Azam,2,GoodLength,Middle,ThirdMan
17,Burl,Spin,Babar Azam,1,ShortLength,Middle,DeepMidWicket
16,Burl,Spin,Babar Azam,1,ShortLength,Middle,DeepMidWicket
15,Masakadza,Fast,Babar Azam,4,FullLength,OutsideOff,LongOn
15,Masakadza,Fast,Babar Azam,1,GoodLength,OutsideOff,LongOff
14,Burl,Spin,Babar Azam,1,FullLength,Middle,DeepPoint
13,Burl,Spin,Babar Azam,1,GoodLength,OutsideOff,DeepMidWicket
12,Masakadza,Fast,Babar Azam,4,GoodLength,OutsideOff,LongOff
12,Burl,Spin,Babar Azam,2,GoodLength,OutsideOff,DeepMidWicket
12,Burl,Spin,Babar Azam,1,FullLength,Middle,LongOff
12,Burl,Spin,Babar Azam,1,GoodLength,Middle,DeepCover
11,Burl,Spin,Babar Azam,3,ShortLength,Middle,LongOn
11,Masakadza,Fast,Babar Azam,1,FullLength,OutsideLeg,DeepFineLeg
11,Muzarabani,Fast,Babar Azam,4,ShortLength,Middle,ThirdMan
11,Muzarabani,Fast,Babar Azam,-1,ShortLength,Middle,DeepMidWicket
9,Willey,Fast,Babar Azam,1,ShortLength,OutsideOff,DeepCover
9,Willey,Fast,Babar Azam,1,FullLength,OutsideOff,ThirdMan
9,Gregory,Fast,Babar Azam,0,GoodLength,OutsideOff,LongOn
8,Gregory,Fast,Babar Azam,1,FullLength,Middle,LongOff
8,Parkinson,Spin,Babar Azam,0,FullLength,Middle,LongOff
8,Parkinson,Spin,Babar Azam,1,FullLength,Middle,DeepMidWicket
6,Parkinson,Spin,Babar Azam,0,GoodLength,OutsideOff,DeepMidWicket
5,Livingstone,Spin,Babar Azam,2,ShortLength,OutsideOff,LongOn
5,Parkinson,Spin,Babar Azam,4,FullLength,Middle,DeepMidWicket
5,Burl,Spin,Babar Azam,1,GoodLength,OutsideOff,ThirdMan
5,Burl,Spin,Babar Azam,1,FullLength,OutsideOff,ThirdMan
4,Madhevere,Spin,Babar Azam,1,ShortLength,Middle,StraightHit
4,Jongwe,Fast,Babar Azam,2,ShortLength,OutsideOff,LongOn
3,Jongwe,Fast,Babar Azam,1,ShortLength,OutsideOff,LongOn
3,Muzarabani,Fast,Babar Azam,6,ShortLength,Off,CowCorner
1,Muzarabani,Fast,Babar Azam,1,GoodLength,OutsideOff,LongOff
1,Muzarabani,Fast,Babar Azam,1,GoodLength,OutsideOff,DeepExtraCover
8,Ngarava,Fast,Babar Azam,4,GoodLength,OutsideOff,DeepSquareLeg
8,Ngarava,Fast,Babar Azam,1,ShortLength,OutsideOff,Square
7,Ngarava,Fast,Babar Azam,1,FullLength,Middle,DeepMidWicket
6,Ngarava,Fast,Babar Azam,4,GoodLength,Middle,DeepMidWicket
6,Jongwe,Fast,Babar Azam,1,GoodLength,Middle,CowCorner
2,Ngarava,Fast,Babar Azam,1,GoodLength,OutsideLeg,DeepFineLeg
2,Jongwe,Fast,Babar Azam,6,GoodLength,OutsideOff,LongOn
1,Ngarava,Fast,Babar Azam,6,GoodLength,Middle,LongOn
16,Ngarava,Fast,Babar Azam,2,GoodLength,Middle,DeepSquareLeg
14,Burl,Spin,Babar Azam,1,ShortLength,Middle,DeepMidWicket
13,Masakadza,Fast,Babar Azam,1,FullLength,Middle,LongOn
11,Burl,Spin,Babar Azam,2,GoodLength,OutsideOff,DeepMidWicket
19,Parkinson,Spin,Babar Azam,1,GoodLength,OutsideOff,LongOn
19,Parkinson,Spin,Babar Azam,0,Yorker,OutsideOff,DeepBackwardPoint
18,Willey,Fast,Babar Azam,1,ShortLength,Middle,DeepMidWicket
18,Parkinson,Spin,Babar Azam,1,ShortLength,OutsideOff,DeepFineLeg
15,Madhevere,Spin,Babar Azam,0,GoodLength,OutsideOff,ThirdMan
14,Jongwe,Fast,Babar Azam,1,GoodLength,Middle,DeepSquareLeg
13,Jongwe,Fast,Babar Azam,1,FullLength,Middle,StraightHit
13,Muzarabani,Fast,Babar Azam,1,FullLength,Middle,DeepMidWicket
11,Ngarava,Fast,Babar Azam,1,FullLength,OutsideOff,DeepPoint
11,Ngarava,Fast,Babar Azam,0,ShortLength,OutsideOff,ExraCover
10,Ngarava,Fast,Babar Azam,1,GoodLength,OutsideOff,DeepCover
10,Muzarabani,Fast,Babar Azam,2,FullLength,Middle,DeepMidWicket
10,Ngarava,Fast,Babar Azam,1,GoodLength,OutsideOff,LongOn
9,Jongwe,Fast,Babar Azam,2,GoodLength,OutsideOff,DeepExtraCover
8,Jongwe,Fast,Babar Azam,1,FullLength,OutsideOff,DeepCover
8,Muzarabani,Fast,Babar Azam,2,GoodLength,Middle,ThirdMan
6,Muzarabani,Fast,Babar Azam,1,GoodLength,OutsideOff,DeepMidWicket
6,Ngarava,Fast,Babar Azam,1,ShortLength,Off,DeepMidWicket
7,Jongwe,Fast,Babar Azam,1,ShortLength,Middle,LongOn
7,Ngarava,Fast,Babar Azam,4,GoodLength,OutsideOff,LongOn
6,Ngarava,Fast,Babar Azam,1,FullLength,Middle,LongOff
4,Ngarava,Fast,Babar Azam,1,ShortLength,Off,DeepMidWicket
3,Burl,Spin,Babar Azam,4,ShortLength,Middle,LongOff
6,Masakadza,Fast,Babar Azam,1,GoodLength,Middle,LongOff
6,Masakadza,Fast,Babar Azam,1,GoodLength,OutsideOff,DeepCover
5,Burl,Spin,Babar Azam,3,GoodLength,OutsideOff,LongOn
5,Burl,Spin,Babar Azam,1,GoodLength,OutsideOff,DeepFineLeg
4,Burl,Spin,Babar Azam,4,GoodLength,OutsideOff,ThirdMan
4,Burl,Spin,Babar Azam,-1,ShortLength,Middle,DeepMidWicket
3,Masakadza,Fast,Babar Azam,1,ShortLength,OutsideOff,ThirdMan
3,Masakadza,Fast,Babar Azam,0,GoodLength,OutsideOff,LongOn
3,Masakadza,Fast,Babar Azam,1,ShortLength,OutsideOff,LongOff
2,Burl,Spin,Babar Azam,0,ShortLength,Middle,LongOff
17,Burl,Spin,Babar Azam,1,GoodLength,Middle,DeepMidWicket
16,Burl,Spin,Babar Azam,0,GoodLength,OutsideOff,DeepMidWicket
15,Masakadza,Fast,Babar Azam,2,GoodLength,OutsideOff,LongOn
15,Muzarabani,Fast,Babar Azam,4,GoodLength,Middle,DeepMidWicket
13,Willey,Fast,Babar Azam,1,FullLength,Middle,StraightHit
13,Gregory,Fast,Babar Azam,2,ShortLength,OutsideOff,LongOn
12,Gregory,Fast,Babar Azam,1,GoodLength,Middle,StraightHit
12,Parkinson,Spin,Babar Azam,1,GoodLength,OutsideOff,LongOn
12,Parkinson,Spin,Babar Azam,6,GoodLength,Middle,CowCorner
9,Livingstone,Spin,Babar Azam,1,GoodLength,Middle,Square
8,Mohammad Ilyas,Fast,Babar Azam,4,FullLength,Middle,DeepMidWicket
8,Irfan,Fast,Babar Azam,1,GoodLength,Middle,CowCorner
6,Mohammad Ilyas,Fast,Babar Azam,1,FullLength,OutsideLeg,DeepFineLeg
6,Afridi,Spin,Babar Azam,6,ShortLength,Middle,LongOn
5,Afridi,Spin,Babar Azam,2,Yorker,Middle,DeepSquareLeg
4,Afridi,Spin,Babar Azam,-1,GoodLength,OutsideOff,LongOn
4,Afridi,Spin,Babar Azam,0,GoodLength,Middle,DeepPoint
6,Afridi,Spin,Babar Azam,1,GoodLength,OutsideOff,DeepMidWicket
6,Afridi,Spin,Babar Azam,1,ShortLength,OutsideOff,LongOn
2,Green,Fast,Babar Azam,1,GoodLength,Middle,LongOff
17,Junaid,Fast,Babar Azam,1,ShortLength,Middle,DeepMidWicket
11,Haris Rauf,Fast,Babar Azam,1,ShortLength,Middle,LongOn
11,Haris Rauf,Fast,Babar Azam,0,GoodLength,OutsideOff,DeepBackwardPoint
11,Rahat Ali,Fast,Babar Azam,1,GoodLength,OutsideOff,DeepMidWicket
11,Rahat Ali,Fast,Babar Azam,1,ShortLength,OutsideLeg,DeepFineLeg
9,Hafeez,Spin,Babar Azam,4,FullLength,Middle,DeepMidWicket
7,Viljoen,Fast,Babar Azam,0,GoodLength,Middle,ThirdMan
7,Shaheen Shah Afridi,Fast,Babar Azam,1,ShortLength,OutsideOff,DeepSquareLeg
6,Yasir Shah,Spin,Babar Azam,1,GoodLength,OutsideOff,StraightHit
5,Yasir Shah,Spin,Babar Azam,1,GoodLength,Middle,DeepMidWicket
4,Yasir Shah,Spin,Babar Azam,0,ShortLength,OutsideOff,ExraCover
3,Hasan Ali,Fast,Babar Azam,1,ShortLength,OutsideOff,DeepCover
3,Hasan Ali,Fast,Babar Azam,2,GoodLength,OutsideOff,DeepMidWicket
3,Faheem,Fast,Babar Azam,1,GoodLength,OutsideOff,LongOn
1,Faheem,Fast,Babar Azam,2,FullLength,OutsideOff,DeepExtraCover
1,Raees,Fast,Babar Azam,1,GoodLength,OutsideOff,DeepCover
10,Raees,Fast,Babar Azam,2,GoodLength,Wide,ThirdMan
8,Faheem,Fast,Babar Azam,1,GoodLength,OutsideOff,DeepMidWicket
7,Faheem,Fast,Babar Azam,1,GoodLength,Middle,DeepMidWicket
7,Shadab,Spin,Babar Azam,1,GoodLength,OutsideOff,LongOn
6,Amad Butt,Fast,Babar Azam,1,FullLength,OutsideOff,DeepPoint
5,Amad Butt,Fast,Babar Azam,1,GoodLength,OutsideOff,DeepMidWicket
2,Amad Butt,Fast,Babar Azam,4,GoodLength,OutsideOff,LongOff
1,Patel,Spin,Babar Azam,3,ShortLength,Middle,LongOn
15,Shadab,Spin,Babar Azam,4,GoodLength,OutsideOff,ThirdMan
14,Faheem,Fast,Babar Azam,1,FullLength,Middle,ThirdMan
14,Faheem,Fast,Babar Azam,0,FullLength,OutsideOff,LongOn
13,Muhammad Musa,Fast,Babar Azam,1,GoodLength,Middle,LongOff
12,Muhammad Musa,Fast,Babar Azam,0,GoodLength,Middle,LongOff
11,Muhammad Musa,Fast,Babar Azam,1,FullLength,Off,DeepMidWicket
10,Raees,Fast,Babar Azam,0,Yorker,Middle,DeepMidWicket
9,Wiese,Fast,Babar Azam,2,Yorker,OutsideOff,LongOn
9,Wiese,Fast,Babar Azam,4,GoodLength,Middle,DeepMidWicket
8,Wiese,Fast,Babar Azam,1,GoodLength,Wide,ThirdMan
7,Cheema,Fast,Babar Azam,1,GoodLength,Middle,StraightHit
7,Cheema,Fast,Babar Azam,2,Yorker,OutsideOff,LongOn
6,Cheema,Fast,Babar Azam,1,ShortLength,OutsideOff,StraightHit
6,Mohammad Ilyas,Fast,Babar Azam,1,ShortLength,OutsideOff,LongOn
4,Irfan,Fast,Babar Azam,1,GoodLength,OutsideOff,LongOff
4,Irfan,Fast,Babar Azam,1,FullLength,OutsideOff,DeepExtraCover
3,Irfan,Fast,Babar Azam,4,GoodLength,OutsideOff,DeepSquareLeg
2,Irfan,Fast,Babar Azam,1,GoodLength,Middle,Square
1,Irfan,Fast,Babar Azam,1,GoodLength,OutsideOff,DeepMidWicket
19,Irfan,Fast,Babar Azam,4,ShortLength,Middle,DeepMidWicket
18,Abbas,Fast,Babar Azam,1,GoodLength,Middle,CowCorner
16,Fawad,Spin,Babar Azam,1,FullLength,OutsideOff,DeepFineLeg
16,Mohammad Hasnain,Fast,Babar Azam,6,ShortLength,Middle,LongOn
15,Sami,Fast,Babar Azam,6,FullLength,OutsideOff,LongOn
14,Sami,Fast,Babar Azam,2,GoodLength,Middle,DeepSquareLeg
14,Raees,Fast,Babar Azam,-1,FullLength,Middle,LongOn
14,Raees,Fast,Babar Azam,0,GoodLength,Middle,DeepPoint
14,Raees,Fast,Babar Azam,0,FullLength,Middle,DeepMidWicket
13,Raees,Fast,Babar Azam,1,ShortLength,OutsideOff,DeepMidWicket
13,Wiese,Fast,Babar Azam,1,GoodLength,OutsideOff,LongOn
11,Wiese,Fast,Babar Azam,2,ShortLength,OutsideOff,DeepMidWicket
11,Wiese,Fast,Babar Azam,1,FullLength,OutsideOff,DeepCover
8,Irfan,Fast,Babar Azam,1,ShortLength,Middle,DeepMidWicket
2,Mohammad Hasnain,Fast,Babar Azam,1,GoodLength,OutsideOff,LongOn
1,Mohammad Hasnain,Fast,Babar Azam,0,GoodLength,OutsideOff,DeepBackwardPoint
1,Raees,Fast,Babar Azam,1,ShortLength,Middle,DeepMidWicket
1,Sami,Fast,Babar Azam,1,GoodLength,Middle,DeepFineLeg
6,Wiese,Fast,Babar Azam,0,GoodLength,Middle,ThirdMan
6,Wiese,Fast,Babar Azam,1,GoodLength,Middle,DeepSquareLeg
3,Zaman,Spin,Babar Azam,1,GoodLength,Middle,DeepMidWicket
2,Irfan,Fast,Babar Azam,0,FullLength,OutsideOff,ExraCover
17,Irfan,Fast,Babar Azam,1,GoodLength,OutsideOff,DeepCover
17,Abbas,Fast,Babar Azam,2,ShortLength,OutsideOff,DeepMidWicket
17,Mohammad Hasnain,Fast,Babar Azam,1,FullLength,Middle,LongOn
16,Mohammad Hasnain,Fast,Babar Azam,2,ShortLength,OutsideOff,DeepExtraCover
15,Mohammad Hasnain,Fast,Babar Azam,1,FullLength,OutsideOff,DeepCover
15,Fawad,Spin,Babar Azam,2,ShortLength,OutsideOff,ThirdMan
15,Mohammad Hasnain,Fast,Babar Azam,1,FullLength,Middle,DeepMidWicket
13,Sami,Fast,Babar Azam,1,GoodLength,OutsideOff,LongOn
12,Yasir Shah,Spin,Babar Azam,1,GoodLength,Middle,DeepPoint
12,Yasir Shah,Spin,Babar Azam,1,ShortLength,Middle,DeepMidWicket
11,Yasir Shah,Spin,Babar Azam,2,GoodLength,Middle,DeepMidWicket
10,Hasan Ali,Fast,Babar Azam,1,FullLength,Middle,LongOff
9,Hasan Ali,Fast,Babar Azam,1,GoodLength,Off,DeepCover
9,Hasan Ali,Fast,Babar Azam,3,FullLength,Middle,LongOn
9,Hasan Ali,Fast,Babar Azam,1,GoodLength,Middle,DeepFineLeg
8,Faheem,Fast,Babar Azam,4,GoodLength,Wide,ThirdMan
8,Faheem,Fast,Babar Azam,-1,GoodLength,Middle,DeepMidWicket
8,Raees,Fast,Babar Azam,1,GoodLength,OutsideOff,DeepCover
8,Raees,Fast,Babar Azam,1,ShortLength,OutsideOff,ThirdMan
7,Faheem,Fast,Babar Azam,0,GoodLength,OutsideOff,LongOn
7,Faheem,Fast,Babar Azam,1,FullLength,Middle,LongOff
7,Faheem,Fast,Babar Azam,0,GoodLength,OutsideOff,LongOff
6,Faheem,Fast,Babar Azam,1,FullLength,Middle,DeepMidWicket
5,Amad Butt,Fast,Babar Azam,0,FullLength,OutsideOff,DeepMidWicket
4,Shadab,Spin,Babar Azam,2,GoodLength,OutsideOff,LongOn
3,Amad Butt,Fast,Babar Azam,4,FullLength,Middle,DeepMidWicket
3,Amad Butt,Fast,Babar Azam,1,GoodLength,Middle,ThirdMan
3,Amad Butt,Fast,Babar Azam,1,FullLength,Middle,ThirdMan
2,Patel,Spin,Babar Azam,1,ShortLength,Middle,StraightHit
1,Patel,Spin,Babar Azam,2,GoodLength,OutsideOff,LongOn
1,Patel,Spin,Babar Azam,1,GoodLength,Middle,StraightHit
9,Shadab,Spin,Babar Azam,1,FullLength,Middle,LongOn
8,Faheem,Fast,Babar Azam,6,ShortLength,OutsideOff,CowCorner
7,Faheem,Fast,Babar Azam,1,GoodLength,OutsideOff,LongOff
7,Faheem,Fast,Babar Azam,1,FullLength,OutsideOff,DeepExtraCover
6,Muhammad Musa,Fast,Babar Azam,4,ShortLength,Middle,DeepSquareLeg
6,Raees,Fast,Babar Azam,1,GoodLength,Middle,DeepMidWicket
2,Wiese,Fast,Babar Azam,1,GoodLength,Middle,CowCorner
15,Lamichhane,Spin,Babar Azam,6,ShortLength,OutsideOff,LongOn
14,Zaman,Spin,Babar Azam,6,GoodLength,OutsideOff,LongOn
14,Mohammad Ilyas,Fast,Babar Azam,2,GoodLength,OutsideOff,DeepSquareLeg
13,Irfan,Fast,Babar Azam,-1,ShortLength,Middle,LongOn
12,Irfan,Fast,Babar Azam,0,FullLength,OutsideOff,DeepPoint
12,Irfan,Fast,Babar Azam,0,GoodLength,Middle,DeepMidWicket
11,Irfan,Fast,Babar Azam,1,GoodLength,Middle,DeepMidWicket
10,Abbas,Fast,Babar Azam,1,ShortLength,OutsideOff,LongOn
9,Mohammad Hasnain,Fast,Babar Azam,2,GoodLength,OutsideOff,DeepMidWicket
8,Raees,Fast,Babar Azam,1,FullLength,OutsideOff,LongOff
7,Raees,Fast,Babar Azam,1,GoodLength,Middle,DeepMidWicket
17,Mohammad Hasnain,Fast,Babar Azam,1,Yorker,OutsideOff,LongOn
